"contrast_id","contrast_label","n_exposed","n_reference","adopters_exposed","non_adopters_exposed","adopters_reference","non_adopters_reference","risk_exposed","risk_reference","risk_ratio","risk_ratio_ci_low","risk_ratio_ci_high","odds_ratio","odds_ratio_ci_low","odds_ratio_ci_high","fisher_exact_p","zero_cell_correction"
"sci_eng_vs_others","Science and engineering vs all other institution types",40,88,12,28,17,71,0.3,0.193181818181818,1.55294117647059,0.820898013669682,2.93779039225238,1.78134887232503,0.682564812500495,4.56335545765784,0.254107248030842,FALSE
"comprehensive_vs_others","Comprehensive vs all other institution types",45,83,10,35,19,64,0.222222222222222,0.228915662650602,0.970760233918129,0.494609136113364,1.90529321629997,0.962688193934117,0.358093214877441,2.46644394614342,1,FALSE
