"Dimension","International (N = 88)","China combined (mandated + non-detection governance) (N = 37)","China mandated detection (N = 29)","China non-detection governance (N = 8)"
"D1. Technical limits/uncertainty warning stated (AI outputs and/or detectors)","86
(97.7%)","4
(10.8%)","4
(13.8%)","0
(0.0%)"
"D2. Proactive governance (disclosure and/or process controls) stated","87
(98.9%)","6
(16.2%)","2
(6.9%)","4
(50.0%)"
"D3. Student retains responsibility for submitted content","88
(100.0%)","4
(10.8%)","3
(10.3%)","1
(12.5%)"
"D4. AI positioned as permissible aid under conditions","87
(98.9%)","13
(35.1%)","9
(31.0%)","4
(50.0%)"
"Mean D1-D4 score (0-4)","3.95","0.73","0.62","1.12"
