"enforcement_depth","n_success","n_total","proportion","ci_low","ci_high","proportion_pct","ci_low_pct","ci_high_pct","denominator_scope"
"Framework only",8,29,0.275862068965517,0.12734011410223,0.472384482430034,27.5862068965517,12.734011410223,47.2384482430034,"adopters only"
"Framework + linked-to-pass",13,29,0.448275862068966,0.264455303706705,0.643061289196086,44.8275862068966,26.4455303706705,64.3061289196086,"adopters only"
"Framework + tool specified",2,29,0.0689655172413793,0.00846396225300183,0.227661889944486,6.89655172413793,0.846396225300183,22.7661889944486,"adopters only"
"Full stack",6,29,0.206896551724138,0.0799418488760801,0.39724694922724,20.6896551724138,7.99418488760801,39.724694922724,"adopters only"
